mês/ano,IGPM,IPCA,Diferença
dez/22,5.45,5.79,-0.33
dez/21,17.78,10.06,7.72
dez/20,23.14,4.52,18.62
dez/19,7.30,4.31,3.00
dez/18,7.54,3.75,3.79
dez/17,-0.52,2.95,-3.47
dez/16,7.17,6.29,0.88
dez/15,10.54,10.67,-0.13
dez/14,3.69,6.41,-2.72
dez/13,5.51,5.91,-0.40
dez/12,7.82,5.84,1.98
dez/11,5.10,6.50,-1.41
dez/10,11.32,5.91,5.41
dez/09,-1.72,4.31,-6.03
dez/08,9.81,5.90,3.90
dez/07,7.75,4.46,3.30
dez/06,3.83,3.14,0.69
dez/05,1.21,5.69,-4.48
dez/04,12.41,7.60,4.81
dez/03,8.71,9.30,-0.59
dez/02,25.31,12.53,12.78
dez/01,10.38,7.67,2.71
dez/00,9.95,5.97,3.98
dez/99,20.10,8.94,11.16
dez/98,1.78,1.65,0.13
dez/97,7.74,5.22,2.52
dez/96,9.20,9.56,-0.37
dez/95,15.25,22.41,-7.16
